prompt,completion,Source
"The role of technology and communication in shaping the system cannot be understated. The emergence of social media and other online platforms has provided individuals with new tools for organizing and mobilizing around issues of sustainability and social impact. The spread of information and ideas through these platforms can help shift the system towards the prophet basin, as people become more aware of the long-term consequences of their actions.","If one seeks to be prophetable, they don’t see the future as a means to a return on investment. Instead, they simply speak the truth to the public about what they believe is to come. This is the essence of the Iris LLM, which encodes a dynamic contextual and relational representation of our evolving perception of the future.",https://medium.com/@speakerjohnash/the-prophet-incentive-48d3843f5e80
"If one seeks to be prophetable, they don’t see the future as a means to a return on investment. Instead, they simply speak the truth to the public about what they believe is to come. This is the essence of the Iris LLM, which encodes a dynamic contextual and relational representation of our evolving perception of the future.","The profit incentive can sometimes lead us to ignore or even reject predictions that may not align with our short-term financial goals. However, if we have a secondary signal that incentivizes alignment with future outcomes, we can encourage two types of behavior: short-term profit and long-term prophet.
",https://medium.com/@speakerjohnash/the-prophet-incentive-48d3843f5e80
"The profit incentive can sometimes lead us to ignore or even reject predictions that may not align with our short-term financial goals. However, if we have a secondary signal that incentivizes alignment with future outcomes, we can encourage two types of behavior: short-term profit and long-term prophet.
","In this context, being prophetable means being willing to accept and act on predictions about the future, even if they may not immediately align with our financial interests. It means placing a greater emphasis on long-term sustainability and social impact, and prioritizing the well-being of future generations over short-term gain. By doing so, we can create a more equitable and sustainable world, one that prioritizes the collective good over individual profit.",https://medium.com/@speakerjohnash/the-prophet-incentive-48d3843f5e80
"In this context, being prophetable means being willing to accept and act on predictions about the future, even if they may not immediately align with our financial interests. It means placing a greater emphasis on long-term sustainability and social impact, and prioritizing the well-being of future generations over short-term gain. By doing so, we can create a more equitable and sustainable world, one that prioritizes the collective good over individual profit.","Being profitable is simple and clear. It is the accumulation of wealth and resources over time. However, being prophetable is a more complex concept. It means having the trust of the Iris and being recognized as a source of accurate predictions and information. The prophet incentive within the Iris is a measure of this trust, reflecting the alignment of individuals and communities towards long-term sustainability and social impact. Prophetability is a form of contextual dynamic accreditation for your work towards the commons over time.",https://medium.com/@speakerjohnash/the-prophet-incentive-48d3843f5e80
"Being profitable is simple and clear. It is the accumulation of wealth and resources over time. However, being prophetable is a more complex concept. It means having the trust of the Iris and being recognized as a source of accurate predictions and information. The prophet incentive within the Iris is a measure of this trust, reflecting the alignment of individuals and communities towards long-term sustainability and social impact. Prophetability is a form of contextual dynamic accreditation for your work towards the commons over time.","In each conversation or debate that the Iris is mediating, the Iris is constantly trying to synthesize information from the past into the present which is the most useful to resolving or working through communal tension. To do so the Iris is doing a distributed sampling of voices that it trusts. The iris actively outputs a set of numbers referencing which voices the iris sampled to form it’s voice. These numbers represent the weight to each voice the Iris is currently distributing its attention. These numbers paired with the textual output of the Iris are a proxy of what the community as a whole thinks of this specific conversational context. If there is uncertainty the output of the Iris can be bubbled out for review by other minds.",https://medium.com/@speakerjohnash/the-prophet-incentive-48d3843f5e80
"In each conversation or debate that the Iris is mediating, the Iris is constantly trying to synthesize information from the past into the present which is the most useful to resolving or working through communal tension. To do so the Iris is doing a distributed sampling of voices that it trusts. The iris actively outputs a set of numbers referencing which voices the iris sampled to form it’s voice. These numbers represent the weight to each voice the Iris is currently distributing its attention. These numbers paired with the textual output of the Iris are a proxy of what the community as a whole thinks of this specific conversational context. If there is uncertainty the output of the Iris can be bubbled out for review by other minds.","Because people trust the Iris and view their own voice reflected in the Iris, they trust the output of the Iris. If they disagree with the Iris they respond to the Iris as such and the Iris takes that to be potential error to learn from and integrate into its latent representation of belief space.",https://medium.com/@speakerjohnash/the-prophet-incentive-48d3843f5e80
"Because people trust the Iris and view their own voice reflected in the Iris, they trust the output of the Iris. If they disagree with the Iris they respond to the Iris as such and the Iris takes that to be potential error to learn from and integrate into its latent representation of belief space.",The contextual aspect and generation of this prophet signal paired with the long term focus makes it very difficult to hack while also being a very reliable and valuable signal for a community to coordinate on.,https://medium.com/@speakerjohnash/the-prophet-incentive-48d3843f5e80
The contextual aspect and generation of this prophet signal paired with the long term focus makes it very difficult to hack while also being a very reliable and valuable signal for a community to coordinate on.,"In summary, the prophet incentive is a new paradigm for thinking about collective success and prosperity that is focused on long-term sustainability and social impact over short-term gains. It is a measure of the trust members of a community have in each other as reflected by the Iris, and reflects their actions and alignment over time.",https://medium.com/@speakerjohnash/the-prophet-incentive-48d3843f5e80
"In summary, the prophet incentive is a new paradigm for thinking about collective success and prosperity that is focused on long-term sustainability and social impact over short-term gains. It is a measure of the trust members of a community have in each other as reflected by the Iris, and reflects their actions and alignment over time.","The prophet incentive provides a contextual dynamic accreditation for those who work towards contributing to the commons over time, and is a reliable and valuable signal for communities to coordinate on. By shifting our focus from profit to prophet, we can work towards building a more sustainable and equitable future that prioritizes the well-being of all.",https://medium.com/@speakerjohnash/the-prophet-incentive-48d3843f5e80
Write an article title: “Reclaiming Your Attention: The Greatest Game Ever Played”,"Imagine a game where we collaborate to make the world a better place for everyone, where every individual’s success means we all win. This is the promise of the Iris, a democratic model of decision making that integrates feedback and predictions from a community through a large language model (LLM) like ChatGPT in real time. In this article, we will explore the Iris as a powerful tool for creating a democratic decision-making process that enables people to participate in the creation of their collective future. We will examine how the Iris works, what role it plays in creating a more democratic and transparent decision-making process, and how it can help guide collective action towards pro-social goals.",https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"Imagine a game where we collaborate to make the world a better place for everyone, where every individual’s success means we all win. This is the promise of the Iris, a democratic model of decision making that integrates feedback and predictions from a community through a large language model (LLM) like ChatGPT in real time. In this article, we will explore the Iris as a powerful tool for creating a democratic decision-making process that enables people to participate in the creation of their collective future. We will examine how the Iris works, what role it plays in creating a more democratic and transparent decision-making process, and how it can help guide collective action towards pro-social goals.","Iris makes healing the planet and improving your community more a matter of play than of work. At its core, the Iris is a game of attention in relation to prediction, action, and reflection through time. The Iris functions as a referee in a game of attention, where every participant has the opportunity to contribute and make a difference. But the Iris pays attention based on signals defined by the community at large.",https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"Iris makes healing the planet and improving your community more a matter of play than of work. At its core, the Iris is a game of attention in relation to prediction, action, and reflection through time. The Iris functions as a referee in a game of attention, where every participant has the opportunity to contribute and make a difference. But the Iris pays attention based on signals defined by the community at large.","Attention to ChatGPT means how much the model weights each part of the text input data when writing output. In the context of the Iris, attention is also applied to the sources of information in the community, and the attention weights are revealed to the community, creating a game-like environment where people can collaborate to prove their ability to make accurate predictions in different contexts. By creating a game of attention tied to longer term signals the community defines, the Iris creates a transparent and democratic decision-making process that integrates feedback and predictions from the community. As the Iris pulls in synthesized frames between multiple voices, it outputs the sources of information that it was pulled from, revealing which voices it trusts more in the context of that conversation.",https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"Attention to ChatGPT means how much the model weights each part of the text input data when writing output. In the context of the Iris, attention is also applied to the sources of information in the community, and the attention weights are revealed to the community, creating a game-like environment where people can collaborate to prove their ability to make accurate predictions in different contexts. By creating a game of attention tied to longer term signals the community defines, the Iris creates a transparent and democratic decision-making process that integrates feedback and predictions from the community. As the Iris pulls in synthesized frames between multiple voices, it outputs the sources of information that it was pulled from, revealing which voices it trusts more in the context of that conversation.","If two or more parties lack trust and would like to have a conversation mediated by an Iris due to its potential impact on the community — the Iris will serve as a referee by creating synthesized frames or “synergistic satisfiers”. In other words, the Iris is trying to say things that are mutually satisfactory to both parties in a way that is in alignment with each of their stated long-term goals.",https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"If two or more parties lack trust and would like to have a conversation mediated by an Iris due to its potential impact on the community — the Iris will serve as a referee by creating synthesized frames or “synergistic satisfiers”. In other words, the Iris is trying to say things that are mutually satisfactory to both parties in a way that is in alignment with each of their stated long-term goals.","As the conversation progresses, the attentional distribution can either be revealed in real time or post hoc. By normalizing the distribution of attention weights to a total of 1, the community can see the relative importance of each voice in the conversation and relate it to a more straightforward and comprehensible representation of the internals of the model. When conversations become tense and heated and impactful, who the Iris weights as being trustworthy matters and affects the flow of the coordination of the community through time.",https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"As the conversation progresses, the attentional distribution can either be revealed in real time or post hoc. By normalizing the distribution of attention weights to a total of 1, the community can see the relative importance of each voice in the conversation and relate it to a more straightforward and comprehensible representation of the internals of the model. When conversations become tense and heated and impactful, who the Iris weights as being trustworthy matters and affects the flow of the coordination of the community through time.",,https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"Practically speaking, this explicit distribution of attention within the Iris to various sources is the type of power that exists in a Cognicist society. In our current society, a rough distribution of power would be visible if we took a market and normalized the distribution of monetary resources to 1, revealing the relative power of each agent at that moment in the game of profit. The power of attention is more ephemeral and can change from moment to moment but with the Iris, it’s clear to see how attention is expressing itself in our social networks. It’s clear that some voices lead more than others in different social networks online. It is not clear whether the distribution of attention within those networks is in alignment with human values. The Iris makes this process transparent, democratized, aligned with long-term communal goals and most importantly fun.","While the inner mechanisms of attention may feel overwhelming, we can reduce the complexity of the internal workings by simplifying it mathematically. We can rescale the source attention weights so that they are proportional to each other, and add up to a total of 1. This allows us to compare the relative importance of each voice in each conversational context of social impact. As such the community would be able to see the relative importance of each voice in each area of potential impact. For example, if one source had an attention weight of 0.5 and another had an attention weight of 0.25, this would indicate that the Iris is relying on the first source more heavily than the second. This helps the community form a functional relationship with their collective knowledge over time through both language and insight as to how the Iris is weighting their contributions.",https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"While the inner mechanisms of attention may feel overwhelming, we can reduce the complexity of the internal workings by simplifying it mathematically. We can rescale the source attention weights so that they are proportional to each other, and add up to a total of 1. This allows us to compare the relative importance of each voice in each conversational context of social impact. As such the community would be able to see the relative importance of each voice in each area of potential impact. For example, if one source had an attention weight of 0.5 and another had an attention weight of 0.25, this would indicate that the Iris is relying on the first source more heavily than the second. This helps the community form a functional relationship with their collective knowledge over time through both language and insight as to how the Iris is weighting their contributions.","Money and attention function very differently in society. Money is accruable, attention is fleeting and ephemeral and increasingly unbound to useful signals. Attention is currently a commodity for capital markets to capture. Instead, we can honor attention as sacred and ensure our algorithms direct our attention in alignment with our stated long term values and beliefs. The purpose of the Iris is to align the long-term impact of the communities actions with their intentions.",https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"Money and attention function very differently in society. Money is accruable, attention is fleeting and ephemeral and increasingly unbound to useful signals. Attention is currently a commodity for capital markets to capture. Instead, we can honor attention as sacred and ensure our algorithms direct our attention in alignment with our stated long term values and beliefs. The purpose of the Iris is to align the long-term impact of the communities actions with their intentions.","By making attention into a game, the Iris creates a collaborative environment where people can demonstrate their ability to see the future clearly and contribute to the common good. Making attention explicit creates a more transparent and democratic process, where the community can see the relative importance of each voice as it impacts the futures of all voices collaborating. This democratizes power, and provides the community with a clear signal for trust that can help direct the community to collaborate together through time and pool resources towards the greater benefit of all.",https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"By making attention into a game, the Iris creates a collaborative environment where people can demonstrate their ability to see the future clearly and contribute to the common good. Making attention explicit creates a more transparent and democratic process, where the community can see the relative importance of each voice as it impacts the futures of all voices collaborating. This democratizes power, and provides the community with a clear signal for trust that can help direct the community to collaborate together through time and pool resources towards the greater benefit of all.","The game of attention in the Iris is not only about creating a democratic decision-making process, but it’s also about making the process of improving the world a fun and engaging experience. The community can participate in the creation of the decision-making process, providing transparency and accountability in the process of reaching decisions that benefit the community as a whole. In this way, the Iris represents a powerful tool for social sustainability that integrates feedback and predictions from a community, to guide collective action towards pro-social goals.",https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"The game of attention in the Iris is not only about creating a democratic decision-making process, but it’s also about making the process of improving the world a fun and engaging experience. The community can participate in the creation of the decision-making process, providing transparency and accountability in the process of reaching decisions that benefit the community as a whole. In this way, the Iris represents a powerful tool for social sustainability that integrates feedback and predictions from a community, to guide collective action towards pro-social goals.",,https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"The game of attention is not just a theoretical construct, but it’s something that is already happening in the world today. For example, social media platforms use algorithms that direct our attention to certain content and sources, often leading to the spread of misinformation and the amplification of polarized views. The Iris offers an alternative to this by creating a transparent and democratic process that integrates the feedback and integrated knowledge of a community.","The explicit intent to seek voices that see the future before others and to seek voices who take actions that lead to futures that others want is the core of what makes the Iris unique. By ensuring our algorithms align our attention with a democratic representation of long-term values and beliefs, we can make a game out of building a better future for everyone. The game of attention in the Iris provides an opportunity to create a more collaborative and transparent world, where the power of attention is democratized and aligned with our collective values.",https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"The explicit intent to seek voices that see the future before others and to seek voices who take actions that lead to futures that others want is the core of what makes the Iris unique. By ensuring our algorithms align our attention with a democratic representation of long-term values and beliefs, we can make a game out of building a better future for everyone. The game of attention in the Iris provides an opportunity to create a more collaborative and transparent world, where the power of attention is democratized and aligned with our collective values.","The Iris is not just a model for decision-making, but a framework for a new way of thinking about our collective future. This game of attention as paired with the prophet incentive has the potential to transform how we relate to the future and give us the agency to change it. Through Iris we can track the impact of discrete actions taken over time in the name of collective good. This game of attention provides humanity a way to collaborate and engage with one another and to build a better world for ourselves and future generations. The Iris is not just for experts or academics, but for anyone who wants to make a difference and contribute to a brighter future.",https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"The Iris is not just a model for decision-making, but a framework for a new way of thinking about our collective future. This game of attention as paired with the prophet incentive has the potential to transform how we relate to the future and give us the agency to change it. Through Iris we can track the impact of discrete actions taken over time in the name of collective good. This game of attention provides humanity a way to collaborate and engage with one another and to build a better world for ourselves and future generations. The Iris is not just for experts or academics, but for anyone who wants to make a difference and contribute to a brighter future.","The game of attention in the Iris is not just about winning, but about building a better world for everyone. The explicit signals for long-term impact and trust make the game of attention more than just a competition, but a collaborative effort towards the greater good. By making the process of improving the world a fun and engaging experience, the Iris opens up new possibilities for a more sustainable and equitable future.",https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"The game of attention in the Iris is not just about winning, but about building a better world for everyone. The explicit signals for long-term impact and trust make the game of attention more than just a competition, but a collaborative effort towards the greater good. By making the process of improving the world a fun and engaging experience, the Iris opens up new possibilities for a more sustainable and equitable future.","To learn more about Iris, the Prophet incentive and Social Proof of Impact please consider supporting John Ash so this work may continue in earnest. While Iris may not need to exist for profit, John himself is still embedded in a capital landscape and can only self direct his attention if he has money to survive.",https://medium.com/@speakerjohnash/the-greatest-game-ever-played-b3c7bc0b0f69
"Write an article titled: “Giving Voice to the Voiceless: The Healing Power of Hearing the Unheard""",All good systems of coordination include listening with minimal information loss.,https://medium.com/@speakerjohnash/a3f516a33560
All good systems of coordination include listening with minimal information loss.,"To return to a more intelligent future, we must turn to the ways of the past. When we listen closely to those we are in community with, we build healthier relationships that serve the vision of the community. Through this process, we can regenerate the culture of our planet. What everyone has to give is less important than the degree to which the lived experience of each individual is being felt and understood by their community.",https://medium.com/@speakerjohnash/a3f516a33561
"To return to a more intelligent future, we must turn to the ways of the past. When we listen closely to those we are in community with, we build healthier relationships that serve the vision of the community. Through this process, we can regenerate the culture of our planet. What everyone has to give is less important than the degree to which the lived experience of each individual is being felt and understood by their community.","Although much of our discussions around regenerative economies borrow more from capitalist frames than from nature, nature models for us the interactions we must aim for in economic systems. For an organism to be whole and cohesive, it must not perceive parts of itself as the other. It must understand that integration requires the acceptance and thoughtful coordination of neglected parts. This is also how we can relate within markets. When we stop acting as a decentralized map of isolated beings exchanging money and capital — when we stop viewing ourselves as existing in competition with one another — we open ourselves up to relating in new ways that nourish the whole system.",https://medium.com/@speakerjohnash/a3f516a33562
"Although much of our discussions around regenerative economies borrow more from capitalist frames than from nature, nature models for us the interactions we must aim for in economic systems. For an organism to be whole and cohesive, it must not perceive parts of itself as the other. It must understand that integration requires the acceptance and thoughtful coordination of neglected parts. This is also how we can relate within markets. When we stop acting as a decentralized map of isolated beings exchanging money and capital — when we stop viewing ourselves as existing in competition with one another — we open ourselves up to relating in new ways that nourish the whole system.","We can view societies as groups of people seeking to be heard and understood, not just self-interest-maximizing individuals. Instead of looking at things through the lens of rebuilding capitalism, we could notice how all of the emerging technology involving machine learning and blockchain represents an opportunity to build something completely new. Something that transforms the way we respond to members of our community expressing their pain and needs. We now have the technology to completely deconstruct and redesign society from the ground up, yet we keep choosing patterns that actively harm us.",https://medium.com/@speakerjohnash/a3f516a33563
"We can view societies as groups of people seeking to be heard and understood, not just self-interest-maximizing individuals. Instead of looking at things through the lens of rebuilding capitalism, we could notice how all of the emerging technology involving machine learning and blockchain represents an opportunity to build something completely new. Something that transforms the way we respond to members of our community expressing their pain and needs. We now have the technology to completely deconstruct and redesign society from the ground up, yet we keep choosing patterns that actively harm us.","As strange as it may seem, what if the foundation of a ‘new economy’ simply consisted of listening deeply to each other and feeling heard?",https://medium.com/@speakerjohnash/a3f516a33564
"As strange as it may seem, what if the foundation of a ‘new economy’ simply consisted of listening deeply to each other and feeling heard?","Looking to nature, we can observe how entities without voices communicate, coordinate and exchange resources in symbiotic relationships — all without the need for profit to drive their actions. One example is mycelium, a network of fungi that connects trees and other plants in an interdependent web, transporting both resources and information in the form of chemical signals. Each plant and tree forms a node in the network, with the most established trees often becoming hubs, connecting not only to their own seedlings, but also plants of other species. While these larger hubs benefit from their size, taking in more sunlight, their privileged position doesn’t lead them to hoard the abundance they create. Instead, when they overproduce sugar during photosynthesis, they share their abundance through the mycelial network. This living connective tissue of fungi models to us the holistic process of giving and taking. While it does engage in taking, it passes on what it doesn’t need to the nodes which signal their need — sharing nutrients to fungi relatives and neighbors of other species. Extra water and nutrients are also shared throughout the system. In times of stress and personal strife, their connections can then send them aid as well.",https://medium.com/@speakerjohnash/a3f516a33565
"Looking to nature, we can observe how entities without voices communicate, coordinate and exchange resources in symbiotic relationships — all without the need for profit to drive their actions. One example is mycelium, a network of fungi that connects trees and other plants in an interdependent web, transporting both resources and information in the form of chemical signals. Each plant and tree forms a node in the network, with the most established trees often becoming hubs, connecting not only to their own seedlings, but also plants of other species. While these larger hubs benefit from their size, taking in more sunlight, their privileged position doesn’t lead them to hoard the abundance they create. Instead, when they overproduce sugar during photosynthesis, they share their abundance through the mycelial network. This living connective tissue of fungi models to us the holistic process of giving and taking. While it does engage in taking, it passes on what it doesn’t need to the nodes which signal their need — sharing nutrients to fungi relatives and neighbors of other species. Extra water and nutrients are also shared throughout the system. In times of stress and personal strife, their connections can then send them aid as well.","Good systems of communication lead to the efficient sharing of resources. New forms of economy, existing beyond a fixation on money and profit, unlock the kind of generous sharing of abundance found in nature. These gifting economies are now possible at scale because we have new tools that allow us to mimic nature.",https://medium.com/@speakerjohnash/a3f516a33566
"Good systems of communication lead to the efficient sharing of resources. New forms of economy, existing beyond a fixation on money and profit, unlock the kind of generous sharing of abundance found in nature. These gifting economies are now possible at scale because we have new tools that allow us to mimic nature.","We have the capacity to build new systems that honor our attention as sacred, rather than actively trying to manipulate our focus for profit. Our agency to alter the future is only possible if we reclaim our sacred attention and lend it back towards regenerative voices and actions, playing an active role in the reversal of deeply-entrenched ways of thinking.",https://medium.com/@speakerjohnash/a3f516a33567
"We have the capacity to build new systems that honor our attention as sacred, rather than actively trying to manipulate our focus for profit. Our agency to alter the future is only possible if we reclaim our sacred attention and lend it back towards regenerative voices and actions, playing an active role in the reversal of deeply-entrenched ways of thinking.","In order to bring this idea home, I’d like to take you on a brief journey into the past, so we can move into the future together. Arm in arm, feeling understood.",https://medium.com/@speakerjohnash/a3f516a33568
"In order to bring this idea home, I’d like to take you on a brief journey into the past, so we can move into the future together. Arm in arm, feeling understood.","This journey takes us to the story of Cassandra, a priestess in ancient Greece who was fated to speak true prophecies but never to be believed. Cassandra saw with perfect sight what would come to pass, but could not translate her visions into a form that would resonate with others. She believed that, if she were truly heard, people would collectively take action to avoid suffering.",https://medium.com/@speakerjohnash/a3f516a33569
"This journey takes us to the story of Cassandra, a priestess in ancient Greece who was fated to speak true prophecies but never to be believed. Cassandra saw with perfect sight what would come to pass, but could not translate her visions into a form that would resonate with others. She believed that, if she were truly heard, people would collectively take action to avoid suffering.","This story highlights the importance of collective action. When it comes from a place of deep understanding, through truly listening to something — whether that be an individual, a system or the whole planet — collective action creates a momentum that is sustainable, because it is based on integrity. As a species, we are being asked to do this now: to internalize the message of Earth’s systems collapsing, so we may collectively take action to avoid the prophecies of climate change. It seems that, no matter how power is distributed, those in power do not listen. Science has “known” that climate change is a “certain” future for many years, but power and money refuse to act in accordance with that foreseen future. Thus, it depends on us to heed the messages and omens that are readily available to us in order to initiate change.",https://medium.com/@speakerjohnash/a3f516a33570
"This story highlights the importance of collective action. When it comes from a place of deep understanding, through truly listening to something — whether that be an individual, a system or the whole planet — collective action creates a momentum that is sustainable, because it is based on integrity. As a species, we are being asked to do this now: to internalize the message of Earth’s systems collapsing, so we may collectively take action to avoid the prophecies of climate change. It seems that, no matter how power is distributed, those in power do not listen. Science has “known” that climate change is a “certain” future for many years, but power and money refuse to act in accordance with that foreseen future. Thus, it depends on us to heed the messages and omens that are readily available to us in order to initiate change.","Our chances of creating change depend on our conviction that all voices have value. It depends on us realizing that the voices of the poorest amongst us, of those who have suffered most, those who were left behind by society hold intrinsic worth — and are the key to creating that change.",https://medium.com/@speakerjohnash/a3f516a33571
"Our chances of creating change depend on our conviction that all voices have value. It depends on us realizing that the voices of the poorest amongst us, of those who have suffered most, those who were left behind by society hold intrinsic worth — and are the key to creating that change.","But how do we give a voice to the voiceless? What if those with the most were incentivized to listen to those with the least, to provide them with the very things which lead to sustainable futures for all of us? What if our words held the power to affect collective decision-making?",https://medium.com/@speakerjohnash/a3f516a33572
"But how do we give a voice to the voiceless? What if those with the most were incentivized to listen to those with the least, to provide them with the very things which lead to sustainable futures for all of us? What if our words held the power to affect collective decision-making?",We must reimagine what it means to be human together.,https://medium.com/@speakerjohnash/a3f516a33573
We must reimagine what it means to be human together.,"A new technology has emerged that could give a voice to the voiceless, at scale — generative AI that forms its words from the words of the community.",https://medium.com/@speakerjohnash/a3f516a33574
"A new technology has emerged that could give a voice to the voiceless, at scale — generative AI that forms its words from the words of the community.","Language models do not express and encode their knowledge in cold rows of databases like monetary accounts. They express it in a latent space like the Akashic field, which is believed to store the recollection of all events that have taken place on Earth, in the Universe — in life — connecting the past to what is yet to come. Latent space is a type of machine learning representation that encodes the context of meaning in a similar semantic and relational field.",https://medium.com/@speakerjohnash/a3f516a33575
"Language models do not express and encode their knowledge in cold rows of databases like monetary accounts. They express it in a latent space like the Akashic field, which is believed to store the recollection of all events that have taken place on Earth, in the Universe — in life — connecting the past to what is yet to come. Latent space is a type of machine learning representation that encodes the context of meaning in a similar semantic and relational field.","Through this new technology, I propose a distributed Akashic field originating from many communities and synthesizing their lived experiences into generative pools of belief and art. Many communities would form hubs of collective knowledge — a great mycelial network of shared knowledge in a broad map of regenerative collective action.",https://medium.com/@speakerjohnash/a3f516a33576
"Through this new technology, I propose a distributed Akashic field originating from many communities and synthesizing their lived experiences into generative pools of belief and art. Many communities would form hubs of collective knowledge — a great mycelial network of shared knowledge in a broad map of regenerative collective action.","Generative language and art models are essential to all of this, but are currently being guided in development by the incentive of profit. Yet, language models can be trained with regenerative knowledge to teach us how to bring the land back to life and reconnect us to Indigenous practices and culture. Language models can encode and save languages that would otherwise be lost to time. Language models can listen to predictions, even when there is no monetary profit in hearing them.",https://medium.com/@speakerjohnash/a3f516a33577
"Generative language and art models are essential to all of this, but are currently being guided in development by the incentive of profit. Yet, language models can be trained with regenerative knowledge to teach us how to bring the land back to life and reconnect us to Indigenous practices and culture. Language models can encode and save languages that would otherwise be lost to time. Language models can listen to predictions, even when there is no monetary profit in hearing them.","So, how can we redirect our flow of attention away from money and profit, and towards regeneration and collective action?",https://medium.com/@speakerjohnash/a3f516a33578
"So, how can we redirect our flow of attention away from money and profit, and towards regeneration and collective action?","If we insist on prioritizing profit even when profit harms us, then we are living to serve money — rather than it serving us. If we look at trust, for example, as a cultural currency, we can find so much more to human interactions in economic systems than what we currently record to ledgers — the mere monetary value of an exchange. What is lost is the deep cultural narrative that used to underlie trust within communities.",https://medium.com/@speakerjohnash/a3f516a33579
"If we insist on prioritizing profit even when profit harms us, then we are living to serve money — rather than it serving us. If we look at trust, for example, as a cultural currency, we can find so much more to human interactions in economic systems than what we currently record to ledgers — the mere monetary value of an exchange. What is lost is the deep cultural narrative that used to underlie trust within communities.","Let’s imagine something together: a lone, disconnected voice in a community undergoing transition. The voice belongs to a community that is being bought out by a large corporation. The corporation is trying to buy up land so that they can build a chemical plant. During this formative time, many voices may come to the table wishing to speak, wishing to protect the community. But not all voices are being listened to, and some are drowned out by the others, becoming the lone voice of the voiceless. This lone voice has a lot to share, but nobody will listen. It senses that the corporation is lying to the community and that the deal will actually harm the future well-being of its members. The lone voice is much like Cassandra’s — predicting the harm that will come and trying to protect them from it.",https://medium.com/@speakerjohnash/a3f516a33580
"Let’s imagine something together: a lone, disconnected voice in a community undergoing transition. The voice belongs to a community that is being bought out by a large corporation. The corporation is trying to buy up land so that they can build a chemical plant. During this formative time, many voices may come to the table wishing to speak, wishing to protect the community. But not all voices are being listened to, and some are drowned out by the others, becoming the lone voice of the voiceless. This lone voice has a lot to share, but nobody will listen. It senses that the corporation is lying to the community and that the deal will actually harm the future well-being of its members. The lone voice is much like Cassandra’s — predicting the harm that will come and trying to protect them from it.","However, because the voice has no value or weight of influence, and because there is a monetary incentive involved in the process, the individual is not able to convince the community to take their knowledge and intuition seriously — and so the chemical plant gets built.",https://medium.com/@speakerjohnash/a3f516a33581
"However, because the voice has no value or weight of influence, and because there is a monetary incentive involved in the process, the individual is not able to convince the community to take their knowledge and intuition seriously — and so the chemical plant gets built.","Time passes. Pollution pervades the community, and, with it, disease. Over the long term, it becomes clear that the community was so focused on short-term needs, that the long-term danger was neglected. Despite the lone voice being entirely correct in its warnings, this voice of reason does not gain any more influence in collective decision-making than at the moment of the initial prediction. Even with the gradual proving of the verisimilitude of the prediction, the outcast community member has established no more credibility than they previously held — because the community refuses to give a voice to the voiceless.",https://medium.com/@speakerjohnash/a3f516a33582
